City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
225,Magadan,RU,2021-06-06 06:18:47,59.5667,150.8,43.0,87,100,9.6,overcast clouds
226,Namatanai,PG,2021-06-06 06:23:36,-3.6667,152.4333,82.38,81,94,6.42,light rain
227,Iranshahr,IR,2021-06-06 06:23:37,27.2025,60.6848,102.2,35,0,6.91,clear sky
228,Berlevag,NO,2021-06-06 06:23:38,70.8578,29.0864,42.55,73,7,20.09,light rain
229,Rondonopolis,BR,2021-06-06 06:23:38,-16.4708,-54.6356,69.33,54,100,2.06,overcast clouds
230,Dores Do Indaia,BR,2021-06-06 06:23:39,-19.4633,-45.6017,61.3,89,50,1.68,scattered clouds
231,Velyka Pysarivka,UA,2021-06-06 06:23:39,50.4259,35.485,58.6,86,91,6.93,light rain
232,Sangar,RU,2021-06-06 06:23:40,63.9242,127.4739,61.57,29,97,13.38,overcast clouds
233,Belaya Gora,RU,2021-06-06 06:23:40,68.5333,146.4167,43.59,62,95,22.91,overcast clouds
234,Karratha,AU,2021-06-06 06:23:41,-20.7377,116.8463,79.61,50,79,15.21,broken clouds
235,Dingle,PH,2021-06-06 06:23:41,10.9995,122.6711,84.78,71,100,6.85,light rain
236,San Cristobal,VE,2021-06-06 06:23:42,7.7669,-72.225,66.2,99,100,3.06,overcast clouds
237,Monrovia,LR,2021-06-06 06:23:43,6.3005,-10.7969,76.77,84,87,1.79,overcast clouds
238,Katherine,AU,2021-06-06 06:23:43,-14.4667,132.2667,84.52,23,86,10.25,overcast clouds
239,Bereda,ES,2021-06-06 06:23:44,43.2686,-7.5406,55.0,99,93,5.01,overcast clouds
240,Wenling,CN,2021-06-06 06:23:44,28.3669,121.36,83.91,60,30,5.53,scattered clouds
241,Duverge,DO,2021-06-06 06:23:45,18.3784,-71.5247,74.84,87,6,0.87,clear sky
242,Winnemucca,US,2021-06-06 06:23:45,40.973,-117.7357,69.85,12,1,11.65,clear sky
